"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","06-Feb-2018","       1138.20","       1099.95","       1128.35","       1095.15","       1111.40","       1107.75","       1113.87","    5276039","          5876800708.65","     136315","    3479245","         65.94"
"INFY","EQ","07-Feb-2018","       1107.75","       1116.00","       1124.80","       1103.55","       1108.00","       1109.05","       1113.49","    4171028","          4644378627.35","     147324","    2763817","         66.26"
"INFY","EQ","08-Feb-2018","       1109.05","       1122.80","       1146.40","       1116.55","       1133.00","       1134.25","       1138.52","    4403622","          5013613141.40","     105295","    2891380","         65.66"
"INFY","EQ","09-Feb-2018","       1134.25","       1118.00","       1120.30","       1106.00","       1112.00","       1109.15","       1112.64","    2191345","          2438184785.65","      88836","    1186875","         54.16"
"INFY","EQ","12-Feb-2018","       1109.15","       1114.80","       1120.60","       1097.80","       1101.00","       1102.80","       1106.85","    3145986","          3482147219.55","      52343","    1986846","         63.15"
"INFY","EQ","14-Feb-2018","       1102.80","       1106.00","       1117.30","       1090.20","       1091.00","       1097.75","       1106.89","    4172856","          4618905280.35","     113292","    3010045","         72.13"
"INFY","EQ","15-Feb-2018","       1097.75","       1103.00","       1129.70","       1103.00","       1113.50","       1114.45","       1118.96","    3993368","          4468413992.95","      99941","    2439471","         61.09"
"INFY","EQ","16-Feb-2018","       1114.45","       1125.00","       1141.65","       1118.10","       1124.65","       1128.05","       1128.32","    4944611","          5579126434.35","     108882","    3112620","         62.95"
"INFY","EQ","19-Feb-2018","       1128.05","       1128.40","       1136.00","       1120.30","       1134.20","       1131.75","       1129.16","    3230920","          3648227633.25","      83364","    1826082","         56.52"
"INFY","EQ","20-Feb-2018","       1131.75","       1103.75","       1149.50","       1103.75","       1135.00","       1136.95","       1141.14","    3594297","          4101611224.80","      97878","    1847456","         51.40"
"INFY","EQ","21-Feb-2018","       1136.95","       1147.50","       1151.90","       1140.00","       1145.00","       1147.40","       1146.98","    6885679","          7897738207.20","     169230","    5474712","         79.51"
"INFY","EQ","22-Feb-2018","       1147.40","       1145.55","       1164.00","       1140.45","       1159.00","       1160.75","       1157.22","    8929987","         10333995037.10","     151810","    6801311","         76.16"
"INFY","EQ","23-Feb-2018","       1160.75","       1163.50","       1166.00","       1146.75","       1154.40","       1155.65","       1158.08","    4729914","          5477635155.05","     128746","    3177897","         67.19"
"INFY","EQ","26-Feb-2018","       1155.65","       1151.00","       1155.05","       1134.35","       1139.95","       1138.60","       1142.81","    2541804","          2904793409.75","      76083","    1626562","         63.99"
"INFY","EQ","27-Feb-2018","       1138.60","       1144.95","       1153.65","       1125.65","       1147.70","       1150.20","       1139.08","    3308013","          3768101538.50","     140175","    2156356","         65.19"
